"PRODUCT_ID";"BRAND_NAME";"PRODUCT_NAME";"PRODUCT_SUBCATEGORY";"PRODUCT_CATEGORY";"PRODUCT_DEPARTMENT";"PRODUCT_FAMILY"
43;"Club";"Club Low Fat Cottage Cheese";"Cottage Cheese";"Dairy";"Dairy";"Food"
44;"Club";"Club Low Fat Sour Cream";"Sour Cream";"Dairy";"Dairy";"Food"
45;"Club";"Club Sour Cream";"Sour Cream";"Dairy";"Dairy";"Food"
46;"Club";"Club Jack Cheese";"Cheese";"Dairy";"Dairy";"Food"
47;"Club";"Club Muenster Cheese";"Cheese";"Dairy";"Dairy";"Food"
48;"Club";"Club String Cheese";"Cheese";"Dairy";"Dairy";"Food"
49;"Club";"Club Low Fat String Cheese";"Cheese";"Dairy";"Dairy";"Food"
50;"Club";"Club Havarti Cheese";"Cheese";"Dairy";"Dairy";"Food"
51;"Club";"Club Head Cheese";"Cheese";"Dairy";"Dairy";"Food"
52;"Club";"Club Cheese Spread";"Cheese";"Dairy";"Dairy";"Food"
53;"Club";"Club Sharp Cheddar Cheese";"Cheese";"Dairy";"Dairy";"Food"
54;"Club";"Club Mild Cheddar Cheese";"Cheese";"Dairy";"Dairy";"Food"
55;"Club";"Club Large Curd Cottage Cheese";"Cottage Cheese";"Dairy";"Dairy";"Food"
56;"Club";"Club 2% Milk";"Milk";"Dairy";"Dairy";"Drink"
57;"Club";"Club Buttermilk";"Milk";"Dairy";"Dairy";"Drink"
58;"Club";"Club Chocolate Milk";"Milk";"Dairy";"Dairy";"Drink"
59;"Club";"Club 1% Milk";"Milk";"Dairy";"Dairy";"Drink"
60;"Club";"Club Whole Milk";"Milk";"Dairy";"Dairy";"Drink"
61;"Club";"Club Strawberry Yogurt";"Yogurt";"Dairy";"Dairy";"Food"
62;"Club";"Club Blueberry Yogurt";"Yogurt";"Dairy";"Dairy";"Food"
63;"Red Spade";"Red Spade Chicken Hot Dogs";"Hot Dogs";"Meat";"Deli";"Food"
64;"Red Spade";"Red Spade Pimento Loaf";"Bologna";"Meat";"Deli";"Food"
65;"Red Spade";"Red Spade Beef Bologna";"Bologna";"Meat";"Deli";"Food"
66;"Red Spade";"Red Spade Low Fat Bologna";"Bologna";"Meat";"Deli";"Food"
67;"Red Spade";"Red Spade Turkey Hot Dogs";"Hot Dogs";"Meat";"Deli";"Food"
68;"Red Spade";"Red Spade Foot-Long Hot Dogs";"Hot Dogs";"Meat";"Deli";"Food"
69;"Red Spade";"Red Spade Low Fat Cole Slaw";"Deli Salads";"Side Dishes";"Deli";"Food"
70;"Red Spade";"Red Spade Cole Slaw";"Deli Salads";"Side Dishes";"Deli";"Food"
71;"Red Spade";"Red Spade Roasted Chicken";"Fresh Chicken";"Meat";"Deli";"Food"
72;"Red Spade";"Red Spade Corned Beef";"Deli Meats";"Meat";"Deli";"Food"
73;"Red Spade";"Red Spade Sliced Turkey";"Deli Meats";"Meat";"Deli";"Food"
74;"Red Spade";"Red Spade Sliced Ham";"Deli Meats";"Meat";"Deli";"Food"
75;"Red Spade";"Red Spade Potato Salad";"Deli Salads";"Side Dishes";"Deli";"Food"
76;"Red Spade";"Red Spade Sliced Chicken";"Deli Meats";"Meat";"Deli";"Food"
77;"Blue Medal";"Blue Medal Small Brown Eggs";"Eggs";"Eggs";"Eggs";"Food"
78;"Blue Medal";"Blue Medal Large Brown Eggs";"Eggs";"Eggs";"Eggs";"Food"
79;"Blue Medal";"Blue Medal Small Eggs";"Eggs";"Eggs";"Eggs";"Food"
80;"Blue Medal";"Blue Medal Large Eggs";"Eggs";"Eggs";"Eggs";"Food"
81;"Blue Medal";"Blue Medal Egg Substitute";"Eggs";"Eggs";"Eggs";"Food"
82;"Golden";"Golden Low Fat Waffles";"Waffles";"Breakfast Foods";"Frozen Foods";"Food"
83;"Golden";"Golden Orange Popsicles";"Popsicles";"Frozen Desserts";"Frozen Foods";"Food"
84;"Golden";"Golden Frozen Chicken Breast";"Frozen Chicken";"Meat";"Frozen Foods";"Food"
85;"Golden";"Golden Frozen Pancakes";"Pancakes";"Breakfast Foods";"Frozen Foods";"Food"
86;"Golden";"Golden Low Fat French Fries";"French Fries";"Vegetables";"Frozen Foods";"Food"
87;"Golden";"Golden Frozen Sausage Pizza";"Pizza";"Pizza";"Frozen Foods";"Food"
88;"Golden";"Golden Blueberry Waffles";"Waffles";"Breakfast Foods";"Frozen Foods";"Food"
89;"Golden";"Golden Fajita French Fries";"French Fries";"Vegetables";"Frozen Foods";"Food"
90;"Golden";"Golden Waffles";"Waffles";"Breakfast Foods";"Frozen Foods";"Food"
91;"Golden";"Golden Frozen Pepperoni Pizza";"Pizza";"Pizza";"Frozen Foods";"Food"
92;"Golden";"Golden Frozen Cheese Pizza";"Pizza";"Pizza";"Frozen Foods";"Food"
93;"Golden";"Golden Frozen Mushroom Pizza";"Pizza";"Pizza";"Frozen Foods";"Food"
94;"Golden";"Golden Apple Cinnamon Waffles";"Waffles";"Breakfast Foods";"Frozen Foods";"Food"
95;"Golden";"Golden Frozen Carrots";"Frozen Vegetables";"Vegetables";"Frozen Foods";"Food"
96;"Golden";"Golden Turkey TV Dinner";"TV Dinner";"Frozen Entrees";"Frozen Foods";"Food"
97;"Golden";"Golden Chicken TV Dinner";"TV Dinner";"Frozen Entrees";"Frozen Foods";"Food"
98;"Golden";"Golden Beef TV Dinner";"TV Dinner";"Frozen Entrees";"Frozen Foods";"Food"
99;"Golden";"Golden Pancake Mix";"Pancake Mix";"Breakfast Foods";"Frozen Foods";"Food"
100;"Golden";"Golden Grape Popsicles";"Popsicles";"Frozen Desserts";"Frozen Foods";"Food"
101;"Golden";"Golden Home Style French Fries";"French Fries";"Vegetables";"Frozen Foods";"Food"
102;"Golden";"Golden Lime Popsicles";"Popsicles";"Frozen Desserts";"Frozen Foods";"Food"
103;"Golden";"Golden Ice Cream";"Ice Cream";"Frozen Desserts";"Frozen Foods";"Food"
104;"Golden";"Golden Ice Cream Sandwich";"Ice Cream";"Frozen Desserts";"Frozen Foods";"Food"
105;"Golden";"Golden Frozen Cauliflower";"Frozen Vegetables";"Vegetables";"Frozen Foods";"Food"
106;"Golden";"Golden Frozen Broccoli";"Frozen Vegetables";"Vegetables";"Frozen Foods";"Food"
107;"Golden";"Golden Frozen Corn";"Frozen Vegetables";"Vegetables";"Frozen Foods";"Food"
108;"Golden";"Golden Frozen Peas";"Frozen Vegetables";"Vegetables";"Frozen Foods";"Food"
109;"Golden";"Golden Popsicles";"Ice Cream";"Frozen Desserts";"Frozen Foods";"Food"
110;"Golden";"Golden Frozen Chicken Thighs";"Frozen Chicken";"Meat";"Frozen Foods";"Food"
111;"Golden";"Golden Frozen Chicken Wings";"Frozen Chicken";"Meat";"Frozen Foods";"Food"
112;"Golden";"Golden Lemon Popsicles";"Popsicles";"Frozen Desserts";"Frozen Foods";"Food"
113;"Faux Products";"Faux Products Silky Smooth Hair Conditioner";"Conditioner";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
114;"Faux Products";"Faux Products Tartar Control Toothpaste";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
115;"Faux Products";"Faux Products Whitening Toothpast";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
116;"Faux Products";"Faux Products Toothpaste";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
117;"Faux Products";"Faux Products Deodorant";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
118;"Faux Products";"Faux Products Conditioning Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
119;"Faux Products";"Faux Products Extra Moisture Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
120;"Faux Products";"Faux Products Angled Toothbrush";"Toothbrushes";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
121;"Faux Products";"Faux Products Apricot Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
122;"Faux Products";"Faux Products Childrens Aspirin";"Aspirin";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
123;"Faux Products";"Faux Products Buffered Aspirin";"Aspirin";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
124;"Faux Products";"Faux Products 200 MG Ibuprofen";"Ibuprofen";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
125;"Faux Products";"Faux Products 200 MG Acetominifen";"Acetominifen";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
126;"Faux Products";"Faux Products HCL Nasal Spray";"Nasal Sprays";"Decongestants";"Health and Hygiene";"Non-Consumable"
127;"Faux Products";"Faux Products Dishwasher Detergent";"Nasal Sprays";"Decongestants";"Health and Hygiene";"Non-Consumable"
128;"Faux Products";"Faux Products Multi-Symptom Cold Remedy";"Cold Remedies";"Cold Remedies";"Health and Hygiene";"Non-Consumable"
129;"Faux Products";"Faux Products Childrens Cold Remedy";"Cold Remedies";"Cold Remedies";"Health and Hygiene";"Non-Consumable"
130;"Faux Products";"Faux Products Laundry Detergent";"Mouthwash";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
131;"Faux Products";"Faux Products Mint Mouthwash";"Mouthwash";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
132;"Denny";"Denny 60 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
133;"Denny";"Denny Plastic Forks";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
134;"Denny";"Denny Plastic Spoons";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
135;"Denny";"Denny Plastic Knives";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
136;"Denny";"Denny C-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
137;"Denny";"Denny 100 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
138;"Denny";"Denny AAA-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
139;"Denny";"Denny Paper Plates";"Paper Dishes";"Paper Products";"Household";"Non-Consumable"
140;"Denny";"Denny Paper Cups";"Paper Dishes";"Paper Products";"Household";"Non-Consumable"
141;"Denny";"Denny 75 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
142;"Denny";"Denny Toilet Bowl Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
143;"Denny";"Denny Counter Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
144;"Denny";"Denny Glass Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
145;"Denny";"Denny 25 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
146;"Denny";"Denny AA-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
147;"Denny";"Denny D-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
148;"Denny";"Denny Paper Towels";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
149;"Denny";"Denny Soft Napkins";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
150;"Denny";"Denny Scented Tissue";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
151;"Denny";"Denny Toilet Paper";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
152;"Denny";"Denny Tissues";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
153;"Denny";"Denny Scented Toilet Tissue";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
154;"Denny";"Denny Room Freshener";"Deodorizers";"Cleaning Supplies";"Household";"Non-Consumable"
155;"Denny";"Denny Frying Pan";"Pots and Pans";"Kitchen Products";"Household";"Non-Consumable"
156;"Denny";"Denny Copper Cleaner";"Pot Cleaners";"Kitchen Products";"Household";"Non-Consumable"
157;"Denny";"Denny Bees Wax Candles";"Candles";"Candles";"Household";"Non-Consumable"
158;"Denny";"Denny Silver Cleaner";"Pot Cleaners";"Kitchen Products";"Household";"Non-Consumable"
159;"Denny";"Denny Copper Pot Scrubber";"Pot Scrubbers";"Kitchen Products";"Household";"Non-Consumable"
160;"Denny";"Denny Economy Toilet Brush";"Toilet Brushes";"Bathroom Products";"Household";"Non-Consumable"
161;"Denny";"Denny Scissors";"Tools";"Hardware";"Household";"Non-Consumable"
162;"Denny";"Denny Large Sponge";"Sponges";"Kitchen Products";"Household";"Non-Consumable"
163;"Denny";"Denny Screw Driver";"Tools";"Hardware";"Household";"Non-Consumable"
164;"Ship Shape";"Ship Shape Extra Lean Hamburger";"Hamburger";"Meat";"Meat";"Food"
165;"Ship Shape";"Ship Shape Seasoned Hamburger";"Hamburger";"Meat";"Meat";"Food"
166;"Robust";"Robust Monthly Sports Magazine";"Sports Magazines";"Magazines";"Periodicals";"Non-Consumable"
167;"Robust";"Robust Monthly Auto Magazine";"Auto Magazines";"Magazines";"Periodicals";"Non-Consumable"
168;"Robust";"Robust Monthly Computer Magazine";"Computer Magazines";"Magazines";"Periodicals";"Non-Consumable"
169;"Robust";"Robust Monthly Home Magazine";"Home Magazines";"Magazines";"Periodicals";"Non-Consumable"
170;"Robust";"Robust Monthly Fashion Magazine";"Fashion Magazines";"Magazines";"Periodicals";"Non-Consumable"
171;"High Top";"High Top Summer Squash";"Fresh Vegetables";"Vegetables";"Produce";"Food"
172;"High Top";"High Top Corn on the Cob";"Fresh Vegetables";"Vegetables";"Produce";"Food"
173;"High Top";"High Top Asparagus";"Fresh Vegetables";"Vegetables";"Produce";"Food"
174;"High Top";"High Top Sweet Peas";"Fresh Vegetables";"Vegetables";"Produce";"Food"
175;"High Top";"High Top New Potatos";"Fresh Vegetables";"Vegetables";"Produce";"Food"
736;"Consolidated";"Consolidated Tartar Control Toothpaste";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
737;"Consolidated";"Consolidated Whitening Toothpast";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
738;"Consolidated";"Consolidated Toothpaste";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
739;"Consolidated";"Consolidated Deodorant";"Personal Hygiene";"Hygiene";"Health and Hygiene";"Non-Consumable"
740;"Consolidated";"Consolidated Conditioning Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
741;"Consolidated";"Consolidated Extra Moisture Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
742;"Consolidated";"Consolidated Angled Toothbrush";"Toothbrushes";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
743;"Consolidated";"Consolidated Apricot Shampoo";"Shampoo";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
744;"Consolidated";"Consolidated Childrens Aspirin";"Aspirin";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
745;"Consolidated";"Consolidated Buffered Aspirin";"Aspirin";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
746;"Consolidated";"Consolidated 200 MG Ibuprofen";"Ibuprofen";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
747;"Consolidated";"Consolidated 200 MG Acetominifen";"Acetominifen";"Pain Relievers";"Health and Hygiene";"Non-Consumable"
748;"Consolidated";"Consolidated HCL Nasal Spray";"Nasal Sprays";"Decongestants";"Health and Hygiene";"Non-Consumable"
749;"Consolidated";"Consolidated Dishwasher Detergent";"Nasal Sprays";"Decongestants";"Health and Hygiene";"Non-Consumable"
750;"Consolidated";"Consolidated Multi-Symptom Cold Remedy";"Cold Remedies";"Cold Remedies";"Health and Hygiene";"Non-Consumable"
751;"Consolidated";"Consolidated Childrens Cold Remedy";"Cold Remedies";"Cold Remedies";"Health and Hygiene";"Non-Consumable"
752;"Consolidated";"Consolidated Laundry Detergent";"Mouthwash";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
753;"Consolidated";"Consolidated Mint Mouthwash";"Mouthwash";"Bathroom Products";"Health and Hygiene";"Non-Consumable"
754;"Cormorant";"Cormorant 60 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
755;"Cormorant";"Cormorant Plastic Forks";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
756;"Cormorant";"Cormorant Plastic Spoons";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
757;"Cormorant";"Cormorant Plastic Knives";"Plastic Utensils";"Plastic Products";"Household";"Non-Consumable"
758;"Cormorant";"Cormorant C-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
759;"Cormorant";"Cormorant 100 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
760;"Cormorant";"Cormorant AAA-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
761;"Cormorant";"Cormorant Paper Plates";"Paper Dishes";"Paper Products";"Household";"Non-Consumable"
762;"Cormorant";"Cormorant Paper Cups";"Paper Dishes";"Paper Products";"Household";"Non-Consumable"
763;"Cormorant";"Cormorant 75 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
764;"Cormorant";"Cormorant Toilet Bowl Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
765;"Cormorant";"Cormorant Counter Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
766;"Cormorant";"Cormorant Glass Cleaner";"Cleaners";"Cleaning Supplies";"Household";"Non-Consumable"
767;"Cormorant";"Cormorant 25 Watt Lightbulb";"Lightbulbs";"Electrical";"Household";"Non-Consumable"
768;"Cormorant";"Cormorant AA-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
769;"Cormorant";"Cormorant D-Size Batteries";"Batteries";"Electrical";"Household";"Non-Consumable"
770;"Cormorant";"Cormorant Paper Towels";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
771;"Cormorant";"Cormorant Soft Napkins";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
772;"Cormorant";"Cormorant Scented Tissue";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
773;"Cormorant";"Cormorant Toilet Paper";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
774;"Cormorant";"Cormorant Tissues";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
775;"Cormorant";"Cormorant Scented Toilet Tissue";"Paper Wipes";"Paper Products";"Household";"Non-Consumable"
776;"Cormorant";"Cormorant Room Freshener";"Deodorizers";"Cleaning Supplies";"Household";"Non-Consumable"
777;"Cormorant";"Cormorant Frying Pan";"Pots and Pans";"Kitchen Products";"Household";"Non-Consumable"
778;"Cormorant";"Cormorant Copper Cleaner";"Pot Cleaners";"Kitchen Products";"Household";"Non-Consumable"
779;"Cormorant";"Cormorant Bees Wax Candles";"Candles";"Candles";"Household";"Non-Consumable"
780;"Cormorant";"Cormorant Silver Cleaner";"Pot Cleaners";"Kitchen Products";"Household";"Non-Consumable"
781;"Cormorant";"Cormorant Copper Pot Scrubber";"Pot Scrubbers";"Kitchen Products";"Household";"Non-Consumable"
782;"Cormorant";"Cormorant Economy Toilet Brush";"Toilet Brushes";"Bathroom Products";"Household";"Non-Consumable"
783;"Cormorant";"Cormorant Scissors";"Tools";"Hardware";"Household";"Non-Consumable"
784;"Cormorant";"Cormorant Large Sponge";"Sponges";"Kitchen Products";"Household";"Non-Consumable"
785;"Cormorant";"Cormorant Screw Driver";"Tools";"Hardware";"Household";"Non-Consumable"
786;"Footnote";"Footnote Extra Lean Hamburger";"Hamburger";"Meat";"Meat";"Food"
787;"Footnote";"Footnote Seasoned Hamburger";"Hamburger";"Meat";"Meat";"Food"
788;"Excel";"Excel Monthly Sports Magazine";"Sports Magazines";"Magazines";"Periodicals";"Non-Consumable"
789;"Excel";"Excel Monthly Auto Magazine";"Auto Magazines";"Magazines";"Periodicals";"Non-Consumable"
790;"Excel";"Excel Monthly Computer Magazine";"Computer Magazines";"Magazines";"Periodicals";"Non-Consumable"
791;"Excel";"Excel Monthly Home Magazine";"Home Magazines";"Magazines";"Periodicals";"Non-Consumable"
792;"Excel";"Excel Monthly Fashion Magazine";"Fashion Magazines";"Magazines";"Periodicals";"Non-Consumable"
793;"Ebony";"Ebony Summer Squash";"Fresh Vegetables";"Vegetables";"Produce";"Food"
794;"Ebony";"Ebony Corn on the Cob";"Fresh Vegetables";"Vegetables";"Produce";"Food"
795;"Ebony";"Ebony Asparagus";"Fresh Vegetables";"Vegetables";"Produce";"Food"
796;"Ebony";"Ebony Sweet Peas";"Fresh Vegetables";"Vegetables";"Produce";"Food"
797;"Ebony";"Ebony New Potatos";"Fresh Vegetables";"Vegetables";"Produce";"Food"
798;"Ebony";"Ebony Beets";"Fresh Vegetables";"Vegetables";"Produce";"Food"
799;"Ebony";"Ebony Prepared Salad";"Fresh Vegetables";"Vegetables";"Produce";"Food"
800;"Ebony";"Ebony Onions";"Fresh Vegetables";"Vegetables";"Produce";"Food"
801;"Ebony";"Ebony Green Pepper";"Fresh Vegetables";"Vegetables";"Produce";"Food"
802;"Ebony";"Ebony Shitake Mushrooms";"Fresh Vegetables";"Vegetables";"Produce";"Food"
803;"Ebony";"Ebony Lettuce";"Fresh Vegetables";"Vegetables";"Produce";"Food"
804;"Ebony";"Ebony Elephant Garlic";"Fresh Vegetables";"Vegetables";"Produce";"Food"
805;"Ebony";"Ebony Red Pepper";"Fresh Vegetables";"Vegetables";"Produce";"Food"
806;"Ebony";"Ebony Garlic";"Fresh Vegetables";"Vegetables";"Produce";"Food"
807;"Ebony";"Ebony Potatos";"Fresh Vegetables";"Vegetables";"Produce";"Food"
808;"Ebony";"Ebony Cauliflower";"Fresh Vegetables";"Vegetables";"Produce";"Food"
809;"Ebony";"Ebony Tomatos";"Fresh Vegetables";"Vegetables";"Produce";"Food"
810;"Ebony";"Ebony Mushrooms";"Fresh Vegetables";"Vegetables";"Produce";"Food"
811;"Ebony";"Ebony Baby Onion";"Fresh Vegetables";"Vegetables";"Produce";"Food"
812;"Ebony";"Ebony Dried Mushrooms";"Fresh Vegetables";"Vegetables";"Produce";"Food"
813;"Ebony";"Ebony Fresh Lima Beans";"Fresh Vegetables";"Vegetables";"Produce";"Food"
814;"Ebony";"Ebony Squash";"Fresh Vegetables";"Vegetables";"Produce";"Food"
815;"Ebony";"Ebony Limes";"Fresh Fruit";"Fruit";"Produce";"Food"
816;"Ebony";"Ebony Firm Tofu";"Tofu";"Packaged Vegetables";"Produce";"Food"
817;"Ebony";"Ebony Almonds";"Nuts";"Specialty";"Produce";"Food"
818;"Ebony";"Ebony Macintosh Apples";"Fresh Fruit";"Fruit";"Produce";"Food"
819;"Ebony";"Ebony Golden Delcious Apples";"Fresh Fruit";"Fruit";"Produce";"Food"
820;"Ebony";"Ebony Red Delcious Apples";"Fresh Fruit";"Fruit";"Produce";"Food"
821;"Ebony";"Ebony Lemons";"Fresh Fruit";"Fruit";"Produce";"Food"
822;"Ebony";"Ebony Fancy Plums";"Fresh Fruit";"Fruit";"Produce";"Food"
823;"Ebony";"Ebony Plums";"Fresh Fruit";"Fruit";"Produce";"Food"
824;"Ebony";"Ebony Peaches";"Fresh Fruit";"Fruit";"Produce";"Food"
825;"Ebony";"Ebony Broccoli";"Fresh Vegetables";"Vegetables";"Produce";"Food"
826;"Ebony";"Ebony Mandarin Oranges";"Fresh Fruit";"Fruit";"Produce";"Food"
827;"Ebony";"Ebony Mixed Nuts";"Nuts";"Specialty";"Produce";"Food"
