"PROMOTION_ID";"PROMOTION_NAME";"MEDIA_TYPE";"COST";"PSTART_DATE";"PEND_DATE"
587;"Weekend Markdown";"Cash Register Handout";7236;"1997-04-08 00:00:00";"1997-04-10 00:00:00"
588;"Price Destroyers";"Daily Paper, Radio";6742;"1997-04-25 00:00:00";"1997-04-28 00:00:00"
589;"Big Promo";"Radio";13604;"1997-05-06 00:00:00";"1997-05-09 00:00:00"
590;"Two for One";"Sunday Paper, Radio";14219;"1997-05-21 00:00:00";"1997-05-23 00:00:00"
591;"Double Down Sale";"Bulk Mail";8772;"1997-06-04 00:00:00";"1997-06-07 00:00:00"
592;"Big Promo";"Street Handout";12643;"1997-06-19 00:00:00";"1997-06-23 00:00:00"
593;"Price Savers";"Daily Paper, Radio, TV";11722;"1997-07-03 00:00:00";"1997-07-07 00:00:00"
594;"Shelf Emptiers";"TV";10374;"1997-07-18 00:00:00";"1997-07-20 00:00:00"
595;"I Cant Believe It Sale";"Sunday Paper, Radio, TV";13472;"1997-07-31 00:00:00";"1997-08-02 00:00:00"
596;"Super Duper Savers";"Radio";10328;"1997-08-14 00:00:00";"1997-08-16 00:00:00"
597;"Dollar Days";"In-Store Coupon";14280;"1997-08-27 00:00:00";"1997-08-28 00:00:00"
598;"Price Slashers";"Radio";10968;"1997-09-10 00:00:00";"1997-09-14 00:00:00"
599;"Dollar Days";"Daily Paper";12611;"1997-09-24 00:00:00";"1997-09-26 00:00:00"
600;"Wallet Savers";"Cash Register Handout";9900;"1997-10-09 00:00:00";"1997-10-13 00:00:00"
601;"Bag Stuffers";"Radio";8725;"1997-10-21 00:00:00";"1997-10-24 00:00:00"
602;"Mystery Sale";"Bulk Mail";10795;"1997-11-05 00:00:00";"1997-11-08 00:00:00"
603;"Green Light Special";"In-Store Coupon";13639;"1997-11-19 00:00:00";"1997-11-22 00:00:00"
604;"Price Slashers";"Sunday Paper, Radio";12637;"1997-12-03 00:00:00";"1997-12-06 00:00:00"
605;"Price Cutters";"In-Store Coupon";7581;"1997-12-17 00:00:00";"1997-12-20 00:00:00"
606;"Two Day Sale";"Product Attachment";7688;"1997-12-31 00:00:00";"1998-01-04 00:00:00"
607;"Dimes Off";"In-Store Coupon";9077;"1998-01-13 00:00:00";"1998-01-15 00:00:00"
608;"Super Savers";"Street Handout";9784;"1998-01-27 00:00:00";"1998-01-29 00:00:00"
609;"Price Winners";"Daily Paper, Radio, TV";8355;"1998-02-12 00:00:00";"1998-02-16 00:00:00"
610;"Mystery Sale";"Street Handout";13843;"1998-02-27 00:00:00";"1998-03-01 00:00:00"
611;"Free For All";"In-Store Coupon";6432;"1998-03-12 00:00:00";"1998-03-16 00:00:00"
612;"Tip Top Savings";"Product Attachment";6193;"1998-03-24 00:00:00";"1998-03-27 00:00:00"
613;"Two Day Sale";"Daily Paper, Radio";9637;"1998-04-08 00:00:00";"1998-04-09 00:00:00"
614;"Three for One";"Sunday Paper, Radio";13162;"1998-04-22 00:00:00";"1998-04-25 00:00:00"
615;"Sales Days";"Daily Paper, Radio, TV";11640;"1998-05-06 00:00:00";"1998-05-09 00:00:00"
616;"Price Slashers";"TV";9668;"1998-05-21 00:00:00";"1998-05-24 00:00:00"
617;"Best Savings";"Radio";5329;"1998-06-04 00:00:00";"1998-06-08 00:00:00"
618;"One Day Sale";"TV";6891;"1998-06-18 00:00:00";"1998-06-21 00:00:00"
619;"Money Savers";"TV";6570;"1998-07-02 00:00:00";"1998-07-05 00:00:00"
620;"Shelf Emptiers";"Daily Paper";12404;"1998-07-17 00:00:00";"1998-07-19 00:00:00"
621;"Big Time Savings";"Daily Paper, Radio";12938;"1998-07-30 00:00:00";"1998-08-02 00:00:00"
622;"Shelf Clearing Days";"Sunday Paper";9881;"1998-08-13 00:00:00";"1998-08-16 00:00:00"
623;"Shelf Emptiers";"Radio";10762;"1998-08-28 00:00:00";"1998-08-31 00:00:00"
624;"Pick Your Savings";"Radio";5649;"1998-09-10 00:00:00";"1998-09-12 00:00:00"
625;"Big Promo";"Sunday Paper, Radio";11056;"1998-09-22 00:00:00";"1998-09-25 00:00:00"
626;"Sale Winners";"In-Store Coupon";9938;"1998-10-06 00:00:00";"1998-10-07 00:00:00"
627;"Best Savings";"Sunday Paper, Radio, TV";9364;"1998-10-22 00:00:00";"1998-10-26 00:00:00"
628;"Big Time Savings";"Sunday Paper";8616;"1998-11-05 00:00:00";"1998-11-07 00:00:00"
629;"Sales Galore";"Daily Paper, Radio";6240;"1998-11-17 00:00:00";"1998-11-19 00:00:00"
630;"Green Light Days";"Sunday Paper";9257;"1998-12-03 00:00:00";"1998-12-06 00:00:00"
631;"Shelf Clearing Days";"Sunday Paper, Radio, TV";7227;"1998-12-16 00:00:00";"1998-12-19 00:00:00"
634;"Unbeatable Price Savers";"Product Attachment";9084;"1996-01-17 00:00:00";"1996-01-19 00:00:00"
635;"Price Cutters";"Daily Paper, Radio";5599;"1996-01-31 00:00:00";"1996-02-03 00:00:00"
636;"Green Light Days";"Bulk Mail";12260;"1996-02-15 00:00:00";"1996-02-19 00:00:00"
637;"Price Winners";"Daily Paper, Radio";12286;"1996-02-28 00:00:00";"1996-02-29 00:00:00"
638;"Money Savers";"Sunday Paper";6064;"1996-03-15 00:00:00";"1996-03-18 00:00:00"
639;"Weekend Markdown";"Daily Paper, Radio, TV";13781;"1996-03-29 00:00:00";"1996-04-01 00:00:00"
640;"Bag Stuffers";"Sunday Paper, Radio, TV";8160;"1996-04-11 00:00:00";"1996-04-14 00:00:00"
641;"Price Slashers";"Sunday Paper, Radio";10403;"1996-04-25 00:00:00";"1996-04-26 00:00:00"
642;"Unbeatable Price Savers";"Sunday Paper, Radio";12219;"1996-05-07 00:00:00";"1996-05-08 00:00:00"
643;"Bye Bye Baby";"Sunday Paper, Radio, TV";8481;"1996-05-22 00:00:00";"1996-05-24 00:00:00"
644;"You Save Days";"Street Handout";14569;"1996-06-05 00:00:00";"1996-06-07 00:00:00"
645;"Go For It";"Sunday Paper";11685;"1996-06-19 00:00:00";"1996-06-22 00:00:00"
646;"Unbeatable Price Savers";"Street Handout";5440;"1996-07-05 00:00:00";"1996-07-08 00:00:00"
647;"Double Your Savings";"Product Attachment";10247;"1996-07-17 00:00:00";"1996-07-20 00:00:00"
648;"Green Light Days";"Daily Paper, Radio";8044;"1996-08-02 00:00:00";"1996-08-03 00:00:00"
649;"Two for One";"Cash Register Handout";10033;"1996-08-15 00:00:00";"1996-08-17 00:00:00"
650;"High Roller Savings";"Daily Paper, Radio";5267;"1996-08-29 00:00:00";"1996-08-31 00:00:00"
651;"Sales Galore";"Sunday Paper, Radio";8618;"1996-09-11 00:00:00";"1996-09-14 00:00:00"
652;"Best Savings";"In-Store Coupon";10781;"1996-09-25 00:00:00";"1996-09-26 00:00:00"
653;"I Cant Believe It Sale";"Bulk Mail";14987;"1996-10-10 00:00:00";"1996-10-12 00:00:00"
654;"Price Destroyers";"Daily Paper, Radio, TV";8258;"1996-10-24 00:00:00";"1996-10-26 00:00:00"
655;"Super Duper Savers";"Cash Register Handout";12810;"1996-11-07 00:00:00";"1996-11-08 00:00:00"
656;"I Cant Believe It Sale";"Daily Paper";14025;"1996-11-21 00:00:00";"1996-11-23 00:00:00"
657;"Price Destroyers";"Sunday Paper, Radio";7170;"1996-12-06 00:00:00";"1996-12-07 00:00:00"
658;"You Save Days";"Product Attachment";5822;"1996-12-17 00:00:00";"1996-12-20 00:00:00"
659;"Two for One";"Daily Paper, Radio, TV";8919;"1997-01-01 00:00:00";"1997-01-04 00:00:00"
660;"Price Savers";"TV";14499;"1997-01-14 00:00:00";"1997-01-16 00:00:00"
661;"Sale Winners";"Sunday Paper";8452;"1997-01-30 00:00:00";"1997-02-02 00:00:00"
662;"Unbeatable Price Savers";"TV";5140;"1997-02-14 00:00:00";"1997-02-16 00:00:00"
663;"Sale Winners";"Product Attachment";6783;"1997-02-27 00:00:00";"1997-03-03 00:00:00"
664;"Price Winners";"Sunday Paper, Radio";14072;"1997-03-12 00:00:00";"1997-03-13 00:00:00"
665;"Tip Top Savings";"Bulk Mail";10242;"1997-03-27 00:00:00";"1997-03-28 00:00:00"
666;"Big Time Discounts";"Cash Register Handout";14967;"1997-04-09 00:00:00";"1997-04-13 00:00:00"
667;"Super Wallet Savers";"Daily Paper, Radio";11713;"1997-04-23 00:00:00";"1997-04-25 00:00:00"
668;"Green Light Special";"Street Handout";8055;"1997-05-08 00:00:00";"1997-05-10 00:00:00"
669;"Sale Winners";"Sunday Paper";11753;"1997-05-23 00:00:00";"1997-05-25 00:00:00"
670;"Price Destroyers";"Street Handout";11860;"1997-06-06 00:00:00";"1997-06-08 00:00:00"
671;"Big Time Discounts";"Sunday Paper";13249;"1997-06-18 00:00:00";"1997-06-21 00:00:00"
672;"Money Savers";"Daily Paper";13956;"1997-07-03 00:00:00";"1997-07-05 00:00:00"
673;"Savings Galore";"Cash Register Handout";9871;"1997-07-16 00:00:00";"1997-07-18 00:00:00"
674;"Price Slashers";"Sunday Paper";8015;"1997-07-30 00:00:00";"1997-08-02 00:00:00"
675;"Sales Galore";"Cash Register Handout";7948;"1997-08-14 00:00:00";"1997-08-16 00:00:00"
676;"Best Savings";"Sunday Paper, Radio, TV";10365;"1997-08-27 00:00:00";"1997-08-30 00:00:00"
677;"Super Savers";"In-Store Coupon";11153;"1997-09-11 00:00:00";"1997-09-13 00:00:00"
678;"Wallet Savers";"Radio";11236;"1997-09-23 00:00:00";"1997-09-25 00:00:00"
679;"Super Duper Savers";"Daily Paper";9714;"1997-10-07 00:00:00";"1997-10-10 00:00:00"
680;"High Roller Savings";"Daily Paper";13840;"1997-10-24 00:00:00";"1997-10-27 00:00:00"
681;"Mystery Sale";"Bulk Mail";9501;"1997-11-04 00:00:00";"1997-11-06 00:00:00"
682;"Bye Bye Baby";"Cash Register Handout";11062;"1997-11-21 00:00:00";"1997-11-25 00:00:00"
683;"Bag Stuffers";"Cash Register Handout";10742;"1997-12-02 00:00:00";"1997-12-05 00:00:00"
684;"Big Time Discounts";"Product Attachment";6576;"1997-12-17 00:00:00";"1997-12-20 00:00:00"
685;"Dimes Off";"Radio";7110;"1997-12-30 00:00:00";"1997-12-31 00:00:00"
686;"Two Day Sale";"Daily Paper, Radio";14053;"1998-01-15 00:00:00";"1998-01-19 00:00:00"
687;"Price Cutters";"Cash Register Handout";6209;"1998-01-28 00:00:00";"1998-01-31 00:00:00"
688;"Super Duper Savers";"Cash Register Handout";13753;"1998-02-11 00:00:00";"1998-02-12 00:00:00"
689;"Price Smashers";"Street Handout";9160;"1998-02-26 00:00:00";"1998-03-01 00:00:00"
690;"Bye Bye Baby";"Sunday Paper";14139;"1998-03-12 00:00:00";"1998-03-15 00:00:00"
691;"Three for One";"Daily Paper";10909;"1998-03-24 00:00:00";"1998-03-26 00:00:00"
692;"Super Savers";"Daily Paper, Radio";10161;"1998-04-08 00:00:00";"1998-04-10 00:00:00"
693;"Dollar Cutters";"Radio";10441;"1998-04-22 00:00:00";"1998-04-25 00:00:00"
694;"Price Smashers";"Daily Paper, Radio";10802;"1998-05-05 00:00:00";"1998-05-06 00:00:00"
695;"Shelf Emptiers";"In-Store Coupon";8773;"1998-05-21 00:00:00";"1998-05-22 00:00:00"
696;"Two Day Sale";"Daily Paper, Radio, TV";9734;"1998-06-03 00:00:00";"1998-06-07 00:00:00"
697;"Free For All";"Radio";14887;"1998-06-17 00:00:00";"1998-06-19 00:00:00"
698;"Coupon Spectacular";"Sunday Paper";14531;"1998-07-03 00:00:00";"1998-07-07 00:00:00"
699;"Weekend Markdown";"Sunday Paper";11047;"1998-07-16 00:00:00";"1998-07-18 00:00:00"
700;"Go For It";"Radio";13717;"1998-07-31 00:00:00";"1998-08-04 00:00:00"
701;"Super Wallet Savers";"In-Store Coupon";11087;"1998-08-12 00:00:00";"1998-08-13 00:00:00"
702;"Dollar Cutters";"Sunday Paper, Radio";7522;"1998-08-27 00:00:00";"1998-08-31 00:00:00"
703;"Coupon Spectacular";"In-Store Coupon";12583;"1998-09-08 00:00:00";"1998-09-11 00:00:00"
704;"Price Destroyers";"Bulk Mail";9618;"1998-09-23 00:00:00";"1998-09-27 00:00:00"
705;"You Save Days";"Sunday Paper, Radio, TV";11861;"1998-10-08 00:00:00";"1998-10-10 00:00:00"
706;"Tip Top Savings";"TV";13677;"1998-10-21 00:00:00";"1998-10-22 00:00:00"
707;"I Cant Believe It Sale";"Bulk Mail";9938;"1998-11-04 00:00:00";"1998-11-06 00:00:00"
708;"Double Down Sale";"Product Attachment";12585;"1998-11-18 00:00:00";"1998-11-22 00:00:00"
709;"Two for One";"Radio";9701;"1998-12-01 00:00:00";"1998-12-02 00:00:00"
710;"Price Winners";"Daily Paper";6897;"1998-12-16 00:00:00";"1998-12-17 00:00:00"
713;"Super Savers";"Sunday Paper, Radio";14146;"1996-01-19 00:00:00";"1996-01-22 00:00:00"
714;"Green Light Special";"Radio";9380;"1996-01-30 00:00:00";"1996-02-02 00:00:00"
715;"Super Wallet Savers";"Daily Paper, Radio, TV";12732;"1996-02-16 00:00:00";"1996-02-17 00:00:00"
716;"Mystery Sale";"Sunday Paper";14894;"1996-02-28 00:00:00";"1996-03-01 00:00:00"
717;"Fantastic Discounts";"Daily Paper, Radio";9100;"1996-03-15 00:00:00";"1996-03-17 00:00:00"
718;"Money Savers";"Product Attachment";13617;"1996-03-27 00:00:00";"1996-03-31 00:00:00"
719;"Shelf Emptiers";"TV";8170;"1996-04-12 00:00:00";"1996-04-14 00:00:00"
720;"Two for One";"In-Store Coupon";9385;"1996-04-24 00:00:00";"1996-04-27 00:00:00"
721;"Best Savings";"Daily Paper, Radio";8464;"1996-05-08 00:00:00";"1996-05-11 00:00:00"
722;"Weekend Markdown";"Sunday Paper, Radio, TV";9772;"1996-05-23 00:00:00";"1996-05-24 00:00:00"
723;"Price Winners";"Street Handout";12870;"1996-06-06 00:00:00";"1996-06-08 00:00:00"
724;"Two Day Sale";"Daily Paper";5794;"1996-06-19 00:00:00";"1996-06-23 00:00:00"
725;"Weekend Markdown";"Daily Paper, Radio";9746;"1996-07-05 00:00:00";"1996-07-09 00:00:00"
726;"Green Light Special";"Daily Paper";6435;"1996-07-19 00:00:00";"1996-07-21 00:00:00"
727;"Weekend Markdown";"Radio";10733;"1996-07-31 00:00:00";"1996-08-01 00:00:00"
728;"Sales Galore";"Daily Paper, Radio, TV";5367;"1996-08-16 00:00:00";"1996-08-17 00:00:00"
729;"Dollar Cutters";"Sunday Paper, Radio";10720;"1996-08-29 00:00:00";"1996-08-30 00:00:00"
730;"Price Winners";"Product Attachment";5446;"1996-09-11 00:00:00";"1996-09-12 00:00:00"
731;"Price Cutters";"Sunday Paper, Radio";5634;"1996-09-27 00:00:00";"1996-09-30 00:00:00"
732;"Shelf Clearing Days";"Bulk Mail";14632;"1996-10-09 00:00:00";"1996-10-10 00:00:00"
733;"Green Light Special";"Cash Register Handout";8330;"1996-10-24 00:00:00";"1996-10-28 00:00:00"
734;"Unbeatable Price Savers";"In-Store Coupon";8437;"1996-11-07 00:00:00";"1996-11-11 00:00:00"
735;"You Save Days";"Daily Paper, Radio";9825;"1996-11-19 00:00:00";"1996-11-21 00:00:00"
736;"I Cant Believe It Sale";"Sunday Paper";10533;"1996-12-03 00:00:00";"1996-12-04 00:00:00"
737;"Shelf Emptiers";"Daily Paper";6448;"1996-12-20 00:00:00";"1996-12-23 00:00:00"
738;"Wallet Savers";"Cash Register Handout";14592;"1997-01-02 00:00:00";"1997-01-06 00:00:00"
739;"Big Promo";"Daily Paper, Radio, TV";5772;"1997-01-16 00:00:00";"1997-01-17 00:00:00"
740;"Price Smashers";"Cash Register Handout";8188;"1997-01-28 00:00:00";"1997-01-30 00:00:00"
741;"Green Light Days";"Daily Paper, Radio";8976;"1997-02-13 00:00:00";"1997-02-15 00:00:00"
742;"Price Winners";"Bulk Mail";12501;"1997-02-26 00:00:00";"1997-03-01 00:00:00"
743;"Money Savers";"Daily Paper, Radio, TV";13635;"1997-03-12 00:00:00";"1997-03-16 00:00:00"
744;"Fantastic Discounts";"Product Attachment";7761;"1997-03-26 00:00:00";"1997-03-27 00:00:00"
745;"Price Slashers";"Cash Register Handout";13422;"1997-04-09 00:00:00";"1997-04-12 00:00:00"
746;"Wallet Savers";"Sunday Paper";14983;"1997-04-22 00:00:00";"1997-04-24 00:00:00"
747;"Sales Days";"Sunday Paper";14663;"1997-05-06 00:00:00";"1997-05-07 00:00:00"
748;"You Save Days";"Sunday Paper, Radio, TV";7841;"1997-05-22 00:00:00";"1997-05-23 00:00:00"
749;"Money Savers";"Daily Paper, Radio";12441;"1997-06-06 00:00:00";"1997-06-10 00:00:00"
750;"Unbeatable Price Savers";"TV";12039;"1997-06-19 00:00:00";"1997-06-22 00:00:00"
751;"Green Light Special";"Product Attachment";10264;"1997-07-04 00:00:00";"1997-07-08 00:00:00"
752;"Save-It Sale";"Sunday Paper, Radio";7807;"1997-07-17 00:00:00";"1997-07-19 00:00:00"
753;"Two for One";"Sunday Paper";13214;"1997-07-30 00:00:00";"1997-08-02 00:00:00"
754;"Wallet Savers";"Daily Paper";8194;"1997-08-14 00:00:00";"1997-08-18 00:00:00"
755;"Pick Your Savings";"Product Attachment";14964;"1997-08-27 00:00:00";"1997-08-29 00:00:00"
756;"Money Savers";"Radio";14216;"1997-09-11 00:00:00";"1997-09-14 00:00:00"
757;"Big Time Discounts";"Sunday Paper";14496;"1997-09-25 00:00:00";"1997-09-27 00:00:00"
758;"Two for One";"Radio";14857;"1997-10-08 00:00:00";"1997-10-10 00:00:00"
759;"Big Time Discounts";"Cash Register Handout";12828;"1997-10-21 00:00:00";"1997-10-24 00:00:00"
760;"Bag Stuffers";"Radio";5035;"1997-11-07 00:00:00";"1997-11-09 00:00:00"
761;"Price Destroyers";"Daily Paper, Radio";10188;"1997-11-20 00:00:00";"1997-11-23 00:00:00"
762;"Go For It";"Daily Paper, Radio";8586;"1997-12-03 00:00:00";"1997-12-05 00:00:00"
763;"Savings Galore";"Sunday Paper, Radio, TV";5102;"1997-12-16 00:00:00";"1997-12-19 00:00:00"
764;"Price Savers";"TV";7772;"1997-12-31 00:00:00";"1998-01-02 00:00:00"
765;"Free For All";"Sunday Paper";5142;"1998-01-16 00:00:00";"1998-01-19 00:00:00"
766;"Big Time Discounts";"Daily Paper, Radio, TV";11577;"1998-01-28 00:00:00";"1998-01-30 00:00:00"
767;"Go For It";"Product Attachment";6637;"1998-02-11 00:00:00";"1998-02-15 00:00:00"
768;"Best Savings";"Cash Register Handout";11017;"1998-02-27 00:00:00";"1998-03-01 00:00:00"
769;"Sales Days";"In-Store Coupon";13260;"1998-03-11 00:00:00";"1998-03-14 00:00:00"
770;"Super Wallet Savers";"Daily Paper";14289;"1998-03-25 00:00:00";"1998-03-29 00:00:00"
771;"Big Time Savings";"Daily Paper";7895;"1998-04-08 00:00:00";"1998-04-10 00:00:00"
772;"Super Duper Savers";"Sunday Paper, Radio, TV";6639;"1998-04-22 00:00:00";"1998-04-24 00:00:00"
773;"Super Savers";"TV";13755;"1998-05-06 00:00:00";"1998-05-08 00:00:00"
774;"Two Day Sale";"Daily Paper, Radio, TV";10952;"1998-05-21 00:00:00";"1998-05-24 00:00:00"
775;"Coupon Spectacular";"Daily Paper";5759;"1998-06-02 00:00:00";"1998-06-03 00:00:00"
776;"Wallet Savers";"TV";6212;"1998-06-17 00:00:00";"1998-06-21 00:00:00"
777;"Money Savers";"Daily Paper, Radio, TV";5545;"1998-06-30 00:00:00";"1998-07-04 00:00:00"
778;"Savings Galore";"TV";10779;"1998-07-16 00:00:00";"1998-07-18 00:00:00"
779;"Save-It Sale";"In-Store Coupon";6787;"1998-07-28 00:00:00";"1998-07-30 00:00:00"
780;"Price Slashers";"Daily Paper, Radio";6293;"1998-08-14 00:00:00";"1998-08-15 00:00:00"
781;"Super Savers";"Street Handout";14431;"1998-08-26 00:00:00";"1998-08-30 00:00:00"
782;"Price Slashers";"Sunday Paper, Radio, TV";7701;"1998-09-10 00:00:00";"1998-09-12 00:00:00"
783;"Big Time Discounts";"Daily Paper";9598;"1998-09-23 00:00:00";"1998-09-27 00:00:00"
784;"Super Savers";"Sunday Paper";13469;"1998-10-08 00:00:00";"1998-10-12 00:00:00"
785;"Three for One";"In-Store Coupon";12548;"1998-10-22 00:00:00";"1998-10-26 00:00:00"
786;"Savings Galore";"Daily Paper";11200;"1998-11-06 00:00:00";"1998-11-09 00:00:00"
787;"Shelf Clearing Days";"Bulk Mail";6954;"1998-11-20 00:00:00";"1998-11-23 00:00:00"
788;"Price Destroyers";"Product Attachment";9878;"1998-12-03 00:00:00";"1998-12-05 00:00:00"
789;"Coupon Spectacular";"In-Store Coupon";13830;"1998-12-16 00:00:00";"1998-12-17 00:00:00"
790;"Savings Galore";"Product Attachment";10519;"1998-12-29 00:00:00";"1999-01-01 00:00:00"
792;"Price Slashers";"Daily Paper, Radio, TV";6009;"1996-01-17 00:00:00";"1996-01-20 00:00:00"
793;"Free For All";"Daily Paper, Radio, TV";14834;"1996-02-01 00:00:00";"1996-02-03 00:00:00"
794;"Shelf Clearing Days";"Sunday Paper, Radio, TV";6904;"1996-02-16 00:00:00";"1996-02-18 00:00:00"
795;"Unbeatable Price Savers";"TV";9747;"1996-02-28 00:00:00";"1996-03-01 00:00:00"
796;"Shelf Emptiers";"Cash Register Handout";8745;"1996-03-14 00:00:00";"1996-03-16 00:00:00"
797;"Price Smashers";"Sunday Paper, Radio";12443;"1996-03-29 00:00:00";"1996-03-30 00:00:00"
798;"Green Light Days";"Sunday Paper";12550;"1996-04-12 00:00:00";"1996-04-13 00:00:00"
799;"Weekend Markdown";"Radio";13939;"1996-04-24 00:00:00";"1996-04-27 00:00:00"
800;"Weekend Markdown";"Sunday Paper, Radio, TV";11990;"1996-05-08 00:00:00";"1996-05-10 00:00:00"
801;"You Save Days";"Radio";11808;"1996-05-22 00:00:00";"1996-05-24 00:00:00"
